ID,資源名稱,資源連結
Discrete_Mathematics,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/DM
Object_Oriented_Programming_Language,考古題、作業與重點整理,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/OOP
Object_Oriented_Programming_Language,我的Project 指定題,https://github.com/UT0903/Travel
Object_Oriented_Programming_Language,我的Project 自選題,https://github.com/b07902011/oopProject
Probability,中華科大影片,https://www.youtube.com/c/CUSTCourses/playlists?view=50&sort=dd&shelf_id=5
Probability,中華科大影片筆記,https://hackmd.io/@9uvrhpAFTKq0YY9PWUt5-g/r1jB9BmP8
Probability,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/Pb
Operating_Systems,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/OS
Operating_Systems,期中考古共筆(須登入hackmd),https://hackmd.io/RSPMWtBuRUyp-76CppXPOw
Operating_Systems,須登入hackmd,https://hackmd.io/bqLsbhnuQ8K4jZPH8zse7Q
Operating_Systems,我的OS project1,https://github.com/UT0903/os-project-one
Operating_Systems,我的OS project2（有錯誤在裡面）,https://github.com/UT0903/os-project2
Operating_Systems,郭大維教授的影片,https://www.youtube.com/watch?v=OQiCacvx5rQ&list=PLco3ZjBUnBUKNn0ANhQ1N7aJbYUmMlgc8
Scientific_Computing,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/SC
Programming_for_Business_Computing_in_Python,線上課程網站,https://www.dlc.ntu.edu.tw/moocs-credit-announce/
Linear_Algebra,碩士考考題共筆,https://hackmd.io/yudEAQGzQ22wG7O-IEYXwA
Systems_Programming,期中考共筆（須登入hackmd）,https://hackmd.io/rIgVJpooQn2eRbLCxvrAMw
Systems_Programming,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/SP
Systems_Programming,期末考共筆（須登入hackmd）,https://hackmd.io/bJZwWckCRk2H_dWvHWTLdg
Systems_Programming,期末考考古題,https://hackmd.io/MYC_SqMPT4WqPwN1HLVTBA
Calculus,李國瑋教授微積分甲上影片,https://ceiba.ntu.edu.tw/modules/index.php?csn=eceba1&default_fun=info&current_lang=chinese&fbclid=IwAR13z3TaE72INkdudxdwUW80OVI9TMvbe9SSUnWuh_KQmzyuzNvQxzs4zqY
Calculus,李國瑋教授微積分甲下影片,https://ceiba.ntu.edu.tw/modules/index.php?csn=869a4c&default_fun=info&current_lang=chinese&fbclid=IwAR2YL1s8UgAB_ES09XBDJ9_1OoPtI6odrH-_yHZiPkDZ-YqMlqs4EWQm0Tw
Global_Music_Culture,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/music
Introduction_to_Computer,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/computer_intro
Formal_Languages_and_Automata_Theory,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/Automata
General_Biology,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/Bio
Computer_Architecture,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/CA
Computer_Networks,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/CN
Compiler_Design,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/compiler
Introduction_to_Digital_Speech_Processing,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/DSP
Introduction_to_Computer_Programming,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/judge_girl_code
Linear_Algebra,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/LA
All-Out_Defense_Education,資源資料夾,https://github.com/UT0903/UT0903.github.io/blob/master/assets/file/class-experience/national_defense
Compiler_Design,CmmCompiler project,https://github.com/UT0903/CmmCompiler
Computer_Networks,HW3,https://github.com/UT0903/CN_hw3
Computer_Networks,HW2,https://github.com/UT0903/CNHW2
Introduction_to_Digital_Speech_Processing,HW1,https://github.com/UT0903/DSP_HW1
Introduction_to_Digital_Speech_Processing,HW2,https://github.com/UT0903/dsp-hw2-1
Introduction_to_Digital_Speech_Processing,HW3,https://github.com/UT0903/dsp_hw3
Computer_Architecture,HW4,https://github.com/UT0903/CA_hw4
Introduction_to_Digital_Speech_Processing,DSP 期中考古,https://hackmd.io/bUNhi7MZTnud4qUU0d7nNA?view
Computer_Networks,雙班計網期中考古,https://hackmd.io/l4uNzdZXSnG3tiAjyISRnw?view
Computer_Architecture,雙班計結期中,https://hackmd.io/iwgncG60Ssi1Yoa_bgMUkw?view
Computer_Architecture,計算機結構筆記,https://hackmd.io/jIiqPdZmTbmXRCcZJptbSg
Computer_Architecture,計算機結構期末考古,https://hackmd.io/eCOU_KQ0SAKzdBgC1nLnOw
Formal_Languages_and_Automata_Theory,自動機期末考古,https://hackmd.io/B75D56NkR46pZSqM_yN4ww?view
Formal_Languages_and_Automata_Theory,自動機Exercise,https://hackmd.io/Fgdr8I10SkOboddCv19pLw
Introduction_to_Digital_Speech_Processing,DSP 期末,https://hackmd.io/pcaSt0lkQoWicggQlNR39w
Computer_Networks,計網期末筆記,https://hackmd.io/PXb0A_09RCai5LL-BpRHcw
